Plik: ./data/had12.dat

Parameters:
pop_size=100,gen=100,Px=0.7,Pm0.01,tour=5,elitism=True

<nr_pokolenia, najlepsza_ocena, srednia_ocen, najgorsza_ocena>

1 uruchomienie
<43,1664,1868,1988>
<44,1664,1859,1982>
<45,1664,1850,1982>
<46,1664,1859,1982>
<47,1664,1852,1982>
<48,1664,1853,1982>
<49,1664,1844,1976>
<50,1664,1843,1976>
<51,1664,1849,1992>
<52,1664,1853,1992>
<53,1664,1865,1992>
<54,1664,1865,2002>
<55,1664,1856,1946>
<56,1664,1854,1946>
<57,1664,1850,1946>
<58,1664,1850,1938>
<59,1664,1848,1958>
<60,1664,1843,1918>
<61,1664,1840,1936>
<62,1664,1848,1930>
<63,1664,1848,1934>
<64,1664,1847,1926>
<65,1664,1846,1948>
<66,1664,1834,1948>
<67,1664,1836,1948>
<68,1664,1846,1998>
<69,1664,1844,1974>
<70,1664,1843,1974>
<71,1664,1833,1974>
<72,1664,1836,1968>
<73,1664,1835,1986>
<74,1664,1839,1986>
<75,1664,1839,1992>
<76,1664,1845,1954>
<77,1664,1839,1990>
<78,1664,1837,1990>
<79,1664,1824,1942>
<80,1664,1829,1982>
<81,1664,1832,1946>
<82,1664,1829,1954>
<83,1664,1840,1942>
<84,1664,1839,1958>
<85,1664,1844,2004>
<86,1664,1848,2006>
<87,1664,1851,2006>
<88,1664,1844,1954>
<89,1664,1838,1964>
<90,1664,1850,2002>
<91,1664,1843,2002>
<92,1664,1856,1982>
<93,1664,1848,1968>
<94,1664,1855,1988>
<95,1664,1844,1988>
<96,1664,1848,1992>
<97,1664,1844,1992>
<98,1664,1843,2022>
<99,1664,1834,1964>
<100,1664,1840,2018>
Best: [3 10 11 12 2 5 7 6 8 1 4 9],1664

5 uruchomienie
<1,1736,1892,1998>
<2,1736,1910,2018>
<3,1736,1903,2012>
<4,1736,1899,2012>
<5,1736,1897,1996>
<6,1736,1901,1994>
<7,1736,1897,1996>
<8,1736,1891,1996>
<9,1736,1889,1998>
<10,1736,1902,1998>
<11,1736,1900,1984>
<12,1736,1896,1984>
<13,1736,1890,1984>
<14,1736,1889,1988>
<15,1736,1890,1988>
<16,1736,1889,1966>
<17,1736,1881,1964>
<18,1736,1896,1996>
<19,1736,1898,1998>
<20,1736,1901,1996>
<21,1736,1895,2016>
<22,1736,1894,2002>
<23,1736,1907,2024>
<24,1736,1910,1984>
<25,1736,1911,2016>
<26,1736,1905,2016>
<27,1736,1901,2016>
<28,1736,1905,2016>
<29,1736,1899,2016>
<30,1736,1899,2016>
<31,1736,1904,2016>
<32,1736,1904,2032>
<33,1736,1900,2016>
<34,1736,1899,2016>
<35,1736,1901,2016>
<36,1736,1906,2008>
<37,1736,1912,1988>
<38,1736,1915,1990>
<39,1736,1911,2008>
<40,1736,1922,2008>
<41,1736,1924,2018>
<42,1736,1920,2000>
<43,1736,1922,1994>
<44,1736,1930,1994>
<45,1736,1934,2038>
<46,1776,1938,2038>
<47,1776,1930,1994>
<48,1776,1933,1986>
<49,1776,1929,2000>
<50,1776,1939,2004>
<51,1776,1942,2010>
