Plik: ./data/had12.dat

Parameters:
pop_size=100,gen=100,Px=0.7,Pm0.01,tour=5,elitism=True

<nr_pokolenia, najlepsza_ocena, srednia_ocen, najgorsza_ocena>

1 uruchomienie
Best: [4 9 7 6 12 11 2 3 1 5 10 8],1684

4 uruchomienie
<1,1732,1895,2012>
<2,1732,1908,2012>
<3,1732,1902,2012>
<4,1712,1890,2012>
<5,1712,1876,1998>
<6,1712,1869,1998>
<7,1712,1850,1998>
<8,1712,1848,1964>
<9,1712,1835,1964>
<10,1698,1833,1932>
<11,1698,1820,1926>
<12,1698,1825,1958>
<13,1698,1834,1958>
<14,1698,1844,1924>
<15,1698,1830,1902>
<16,1698,1829,1898>
<17,1698,1835,1908>
<18,1698,1829,1890>
<19,1698,1832,1884>
<20,1698,1830,1898>
<21,1698,1819,1900>
<22,1698,1826,1910>
<23,1698,1830,1910>
<24,1698,1826,1910>
<25,1698,1819,1910>
<26,1698,1823,1894>
<27,1698,1809,1886>
<28,1698,1818,1910>
<29,1698,1807,1910>
<30,1698,1788,1922>
<31,1698,1770,1922>
<32,1688,1747,1878>
<33,1688,1742,1878>
<34,1688,1741,1890>
<35,1688,1747,1878>
<36,1688,1753,1878>
<37,1688,1739,1868>
<38,1688,1735,1868>
<39,1688,1730,1864>
<40,1688,1727,1808>
<41,1688,1724,1808>
<42,1688,1727,1808>
<43,1688,1728,1794>
<44,1688,1727,1794>
<45,1688,1725,1794>
<46,1688,1728,1880>
<47,1686,1727,1794>
<48,1686,1726,1794>
<49,1666,1717,1794>
<50,1666,1711,1794>
<51,1666,1704,1782>
<52,1666,1705,1782>
<53,1666,1705,1868>
<54,1666,1701,1782>
<55,1666,1711,1790>
<56,1666,1703,1782>
<57,1666,1712,1782>
<58,1666,1708,1782>
<59,1666,1716,1782>
<60,1666,1721,1782>
<61,1666,1718,1782>
<62,1666,1706,1782>
<63,1666,1711,1794>
<64,1666,1705,1794>
<65,1666,1701,1794>
<66,1666,1705,1794>
<67,1666,1696,1776>
<68,1666,1698,1794>
<69,1666,1691,1776>
<70,1666,1700,1788>
<71,1666,1701,1796>
<72,1666,1702,1796>
<73,1666,1711,1796>
<74,1666,1714,1796>
<75,1666,1725,1796>
<76,1666,1736,1808>
<77,1666,1742,1866>
<78,1666,1733,1796>
<79,1666,1751,1832>
<80,1666,1756,1796>
<81,1666,1737,1796>
<82,1666,1740,1796>
<83,1666,1747,1796>
<84,1666,1743,1796>
<85,1666,1741,1796>
<86,1666,1720,1796>
<87,1666,1715,1786>
<88,1666,1718,1764>
<89,1666,1727,1764>
<90,1666,1732,1764>
<91,1666,1719,1764>
<92,1666,1710,1764>
<93,1666,1700,1764>
<94,1666,1708,1764>
<95,1666,1697,1764>
<96,1666,1699,1762>
<97,1666,1699,1762>
<98,1666,1710,1774>
<99,1666,1710,1788>
<100,1666,1712,1762>
Best: [8 10 5 11 2 6 12 1 3 7 4 9],1666

5 uruchomienie
<1,1730,1890,2022>
<2,1730,1906,2022>
<3,1728,1892,2016>
<4,1728,1883,1974>
<5,1726,1878,2018>
<6,1726,1870,2018>
<7,1726,1854,2018>
<8,1726,1880,1976>
<9,1726,1872,1980>
<10,1726,1870,1970>
<11,1726,1862,1998>
<12,1726,1848,1998>
<13,1726,1846,1944>
<14,1726,1834,1944>
<15,1726,1826,1944>
<16,1726,1850,1944>
<17,1726,1843,1944>
<18,1726,1823,1944>
<19,1726,1821,1902>
<20,1726,1818,1902>
<21,1726,1803,1902>
<22,1726,1813,1910>
<23,1726,1834,1888>
<24,1726,1837,1890>
<25,1726,1838,1888>
<26,1726,1833,1888>
<27,1726,1833,1888>
<28,1726,1823,1888>
<29,1726,1806,1888>
<30,1726,1791,1888>
<31,1726,1787,1864>
<32,1712,1783,1868>
<33,1712,1783,1868>
<34,1702,1780,1868>
<35,1702,1783,1868>
<36,1702,1787,1880>
<37,1702,1779,1868>
<38,1702,1775,1848>
<39,1702,1775,1848>
<40,1702,1771,1848>
<41,1702,1773,1848>
<42,1702,1773,1848>
<43,1702,1766,1848>
<44,1702,1767,1832>
<45,1702,1769,1832>
<46,1702,1760,1836>
<47,1684,1753,1832>
<48,1684,1754,1832>
<49,1684,1757,1846>
<50,1684,1774,1950>
<51,1684,1763,1910>
<52,1684,1766,1846>
<53,1684,1755,1846>
<54,1684,1754,1826>
<55,1684,1750,1830>
<56,1684,1748,1830>
<57,1684,1753,1856>
<58,1684,1750,1828>
<59,1684,1747,1828>
<60,1684,1757,1838>
<61,1684,1757,1826>
<62,1684,1759,1828>
<63,1684,1759,1842>
<64,1684,1759,1832>
<65,1684,1754,1850>
<66,1684,1739,1850>
<67,1684,1743,1850>
<68,1684,1740,1850>
<69,1684,1746,1860>
<70,1684,1742,1860>
<71,1684,1742,1860>
<72,1684,1745,1860>
<73,1684,1751,1860>
<74,1684,1748,1860>
<75,1684,1732,1850>
<76,1684,1730,1826>
<77,1684,1740,1826>
<78,1684,1742,1826>
<79,1684,1743,1836>
<80,1684,1740,1812>
<81,1684,1733,1812>
<82,1684,1728,1766>
<83,1684,1722,1762>
<84,1684,1713,1762>
<85,1684,1710,1890>
<86,1684,1709,1880>
<87,1684,1706,1884>
<88,1684,1703,1762>
