Plik: ./data/had12.dat

Parameters:
pop_size=100,gen=100,Px=0.8,Pm0.01,tour=5,elitism=True

<nr_pokolenia, najlepsza_ocena, srednia_ocen, najgorsza_ocena>

1 uruchomienie
<52,1672,1691,1778>
<53,1672,1693,1778>
<54,1672,1693,1778>
<55,1672,1696,1778>
<56,1672,1694,1778>
<57,1672,1699,1778>
<58,1672,1701,1810>
<59,1672,1693,1778>
<60,1672,1689,1682>
<61,1672,1688,1672>
<62,1672,1688,1672>
<63,1672,1690,1764>
<64,1672,1692,1800>
<65,1672,1692,1800>
<66,1672,1691,1812>
<67,1672,1693,1868>
<68,1672,1713,1874>
<69,1672,1727,1874>
<70,1672,1753,1888>
<71,1672,1757,1888>
<72,1672,1779,1888>
<73,1672,1791,1916>
<74,1672,1768,1888>
<75,1672,1766,1888>
<76,1672,1759,1888>
<77,1672,1762,1888>
<78,1672,1799,1918>
<79,1672,1814,1894>
<80,1672,1802,1888>
<81,1672,1792,1888>
<82,1672,1797,1888>
<83,1672,1796,1888>
<84,1672,1806,1888>
<85,1672,1805,1888>
<86,1672,1816,1888>
<87,1672,1819,1888>
<88,1672,1818,1928>
<89,1672,1808,1924>
<90,1672,1808,1900>
<91,1672,1796,1888>
<92,1672,1805,1888>
<93,1672,1810,1888>
<94,1672,1826,1888>
<95,1672,1821,1888>
<96,1672,1817,1894>
<97,1672,1795,1888>
<98,1672,1794,1888>
<99,1672,1785,1888>
<100,1672,1762,1868>
Best: [4 9 7 1 6 2 11 12 8 5 10 3],1672

6 uruchomienie
<1,1736,1883,1984>
<2,1736,1902,1984>
<3,1716,1893,2006>
<4,1716,1884,1982>
<5,1716,1870,1982>
<6,1716,1859,1942>
<7,1716,1853,1974>
<8,1696,1845,1960>
<9,1696,1843,1994>
<10,1696,1847,1994>
<11,1696,1823,1958>
<12,1696,1804,1936>
<13,1696,1809,1950>
<14,1696,1802,1950>
<15,1696,1802,1950>
<16,1666,1791,1902>
<17,1666,1781,1902>
<18,1666,1774,1908>
<19,1664,1769,1908>
<20,1664,1764,1884>
<21,1664,1755,1902>
<22,1664,1731,1876>
<23,1664,1727,1892>
<24,1664,1727,1864>
<25,1664,1741,1876>
<26,1664,1730,1864>
<27,1664,1731,1860>
<28,1664,1735,1822>
<29,1664,1736,1820>
<30,1664,1736,1828>
<31,1664,1724,1826>
<32,1664,1726,1826>
<33,1664,1721,1872>
<34,1664,1722,1838>
<35,1664,1737,1902>
<36,1664,1745,1876>
<37,1664,1747,1876>
<38,1664,1753,1904>
<39,1664,1747,1900>
<40,1664,1781,1906>
<41,1664,1813,1900>
<42,1664,1800,1904>
<43,1664,1766,1900>
<44,1664,1763,1906>
